video_id,video_title,channel_name,category,publish_date,views,likes,comments,duration_seconds,country,is_trending,engagement_rate
VID_1,Trending Video 1,Channel_104,Tech,2023-01-01 00:00:00,10876782,449281,110593,2897,UK,Yes,6.4
VID_2,Trending Video 2,Channel_572,Sports,2023-01-01 01:00:00,48329458,188360,95150,908,Australia,Yes,9.15
VID_3,Trending Video 3,Channel_600,Music,2023-01-01 02:00:00,3574047,1234974,176074,1729,Pakistan,Yes,4.86
VID_4,Trending Video 4,Channel_72,News,2023-01-01 03:00:00,6419394,241228,209069,1341,USA,Yes,1.51
VID_5,Trending Video 5,Channel_670,Sports,2023-01-01 04:00:00,10888484,421886,118874,3033,USA,No,13.76
VID_6,Trending Video 6,Channel_640,News,2023-01-01 05:00:00,10466472,845132,44565,981,Canada,Yes,2.95
VID_7,Trending Video 7,Channel_117,News,2023-01-01 06:00:00,25048131,795671,7379,740,UK,No,1.09
VID_8,Trending Video 8,Channel_424,Education,2023-01-01 07:00:00,47545083,85340,149736,777,Australia,No,6.32
VID_9,Trending Video 9,Channel_507,Gaming,2023-01-01 08:00:00,24850368,780414,230885,3376,Pakistan,Yes,13.86
VID_10,Trending Video 10,Channel_793,Tech,2023-01-01 09:00:00,29153516,831935,223229,2536,Canada,No,5.4
VID_11,Trending Video 11,Channel_296,News,2023-01-01 10:00:00,44220104,525268,72208,2196,USA,Yes,9.91
VID_12,Trending Video 12,Channel_398,Sports,2023-01-01 11:00:00,33745621,771009,113973,220,Canada,Yes,4.37
VID_13,Trending Video 13,Channel_655,Education,2023-01-01 12:00:00,13966734,809484,271339,2554,USA,Yes,12.16
VID_14,Trending Video 14,Channel_33,Entertainment,2023-01-01 13:00:00,4955417,202800,42727,2719,Canada,No,3.62
VID_15,Trending Video 15,Channel_322,Gaming,2023-01-01 14:00:00,6340956,321012,206517,1822,UK,Yes,3.91
VID_16,Trending Video 16,Channel_341,Tech,2023-01-01 15:00:00,16959937,390175,163143,3408,Canada,No,12.64
VID_17,Trending Video 17,Channel_326,Education,2023-01-01 16:00:00,32793103,1759406,159464,1286,India,Yes,5.13
VID_18,Trending Video 18,Channel_776,Gaming,2023-01-01 17:00:00,13167213,1037400,143938,3322,USA,No,1.51
VID_19,Trending Video 19,Channel_578,Tech,2023-01-01 18:00:00,42532416,984968,203909,543,USA,No,7.83
VID_20,Trending Video 20,Channel_544,Gaming,2023-01-01 19:00:00,14827247,1515711,242591,3487,Canada,Yes,4.29
VID_21,Trending Video 21,Channel_188,Entertainment,2023-01-01 20:00:00,28307058,1189305,283608,2196,Canada,Yes,4.19
VID_22,Trending Video 22,Channel_104,Entertainment,2023-01-01 21:00:00,22679289,1015627,34704,3002,USA,Yes,7.04
VID_23,Trending Video 23,Channel_75,News,2023-01-01 22:00:00,10085939,1014050,266268,2920,India,Yes,5.68
VID_24,Trending Video 24,Channel_563,Music,2023-01-01 23:00:00,17224352,1953016,215426,1384,India,No,3.46
VID_25,Trending Video 25,Channel_319,News,2023-01-02 00:00:00,34178234,1743853,248923,2735,UK,No,11.58
VID_26,Trending Video 26,Channel_366,News,2023-01-02 01:00:00,25457269,229811,57837,921,India,No,4.29
VID_27,Trending Video 27,Channel_327,Tech,2023-01-02 02:00:00,32546216,1622613,170368,3261,UK,Yes,3.23
VID_28,Trending Video 28,Channel_323,Education,2023-01-02 03:00:00,49260820,152335,16125,1930,Australia,No,5.5
VID_29,Trending Video 29,Channel_203,Education,2023-01-02 04:00:00,10279286,1851996,124736,2092,Pakistan,No,1.06
VID_30,Trending Video 30,Channel_61,Gaming,2023-01-02 05:00:00,30487789,719821,86453,1240,UK,Yes,11.68
VID_31,Trending Video 31,Channel_784,Gaming,2023-01-02 06:00:00,28202208,1371837,250902,1094,India,Yes,14.17
VID_32,Trending Video 32,Channel_641,News,2023-01-02 07:00:00,35154265,1581896,58803,1854,USA,No,13.3
VID_33,Trending Video 33,Channel_187,Music,2023-01-02 08:00:00,43499664,882402,251918,2444,Australia,No,14.22
VID_34,Trending Video 34,Channel_643,Sports,2023-01-02 09:00:00,22256554,1276576,147996,497,Australia,Yes,8.77
VID_35,Trending Video 35,Channel_17,Tech,2023-01-02 10:00:00,41393405,1450393,295596,2173,USA,Yes,11.12
VID_36,Trending Video 36,Channel_356,Education,2023-01-02 11:00:00,49331567,552428,40310,1574,Australia,Yes,9.21
VID_37,Trending Video 37,Channel_238,Vlogs,2023-01-02 12:00:00,45828381,249880,87917,2578,Australia,Yes,6.67
VID_38,Trending Video 38,Channel_628,News,2023-01-02 13:00:00,20527802,580538,80000,1098,India,No,1.16
VID_39,Trending Video 39,Channel_172,Music,2023-01-02 14:00:00,9321323,1332923,155046,3056,India,Yes,6.94
VID_40,Trending Video 40,Channel_385,Tech,2023-01-02 15:00:00,27306748,594349,171035,1754,UK,Yes,8.39
VID_41,Trending Video 41,Channel_447,Entertainment,2023-01-02 16:00:00,26112801,1491035,110043,1315,Canada,Yes,13.8
VID_42,Trending Video 42,Channel_551,Gaming,2023-01-02 17:00:00,32163768,598984,180554,3211,India,No,3.99
VID_43,Trending Video 43,Channel_566,Entertainment,2023-01-02 18:00:00,26745742,228241,132337,3205,India,Yes,9.86
VID_44,Trending Video 44,Channel_79,Education,2023-01-02 19:00:00,38183676,304770,157825,245,Pakistan,Yes,6.76
VID_45,Trending Video 45,Channel_29,Tech,2023-01-02 20:00:00,25417572,486427,235319,2459,Canada,No,4.89
VID_46,Trending Video 46,Channel_246,Vlogs,2023-01-02 21:00:00,10361192,262579,240797,1281,USA,Yes,14.36
VID_47,Trending Video 47,Channel_93,Music,2023-01-02 22:00:00,10163759,648087,9706,3239,USA,No,3.22
VID_48,Trending Video 48,Channel_742,Education,2023-01-02 23:00:00,44591532,1439423,79934,1186,USA,No,7.19
VID_49,Trending Video 49,Channel_222,Gaming,2023-01-03 00:00:00,39404297,1077608,173220,3232,Pakistan,Yes,4.04
VID_50,Trending Video 50,Channel_226,Vlogs,2023-01-03 01:00:00,15837675,1334149,8664,1740,Australia,Yes,5.75
VID_51,Trending Video 51,Channel_277,Sports,2023-01-03 02:00:00,938046,750280,230615,2802,Australia,Yes,13.01
VID_52,Trending Video 52,Channel_408,Sports,2023-01-03 03:00:00,27872752,205869,108472,1295,UK,Yes,11.66
VID_53,Trending Video 53,Channel_139,Sports,2023-01-03 04:00:00,33044630,584378,162800,2506,India,Yes,14.89
VID_54,Trending Video 54,Channel_229,Gaming,2023-01-03 05:00:00,17043478,1512940,243020,453,Pakistan,No,4.72
VID_55,Trending Video 55,Channel_517,Education,2023-01-03 06:00:00,14628811,234010,97852,3432,Canada,Yes,6.24
VID_56,Trending Video 56,Channel_81,Vlogs,2023-01-03 07:00:00,45506807,387687,119657,2007,Australia,Yes,1.75
VID_57,Trending Video 57,Channel_362,Entertainment,2023-01-03 08:00:00,39514802,1037563,41827,1539,USA,Yes,5.77
VID_58,Trending Video 58,Channel_357,Education,2023-01-03 09:00:00,8447360,1615867,80852,3131,USA,Yes,1.16
VID_59,Trending Video 59,Channel_118,Vlogs,2023-01-03 10:00:00,45430993,1089500,159049,2122,UK,Yes,9.56
VID_60,Trending Video 60,Channel_17,Gaming,2023-01-03 11:00:00,422511,1389437,119610,3065,UK,Yes,13.67
VID_61,Trending Video 61,Channel_342,Sports,2023-01-03 12:00:00,5943477,212356,130560,318,India,Yes,10.77
VID_62,Trending Video 62,Channel_400,News,2023-01-03 13:00:00,34548389,1011971,74694,2941,Australia,Yes,14.15
VID_63,Trending Video 63,Channel_1,Education,2023-01-03 14:00:00,26857215,1338629,188479,2575,UK,Yes,8.32
VID_64,Trending Video 64,Channel_310,Music,2023-01-03 15:00:00,26946325,995846,179926,1985,UK,Yes,6.4
VID_65,Trending Video 65,Channel_696,Sports,2023-01-03 16:00:00,29979586,31040,10477,1043,Canada,Yes,6.7
VID_66,Trending Video 66,Channel_730,Gaming,2023-01-03 17:00:00,33556791,1343248,241083,2119,India,No,13.96
VID_67,Trending Video 67,Channel_702,Education,2023-01-03 18:00:00,30801242,1690628,132882,2881,Canada,Yes,2.32
VID_68,Trending Video 68,Channel_629,News,2023-01-03 19:00:00,10690780,77241,74865,1012,USA,Yes,6.16
VID_69,Trending Video 69,Channel_18,Tech,2023-01-03 20:00:00,27350781,1329416,159258,3034,Pakistan,Yes,1.56
VID_70,Trending Video 70,Channel_265,Gaming,2023-01-03 21:00:00,38648956,999873,28628,3009,Australia,Yes,14.08
VID_71,Trending Video 71,Channel_266,Vlogs,2023-01-03 22:00:00,25421957,1673187,260654,1351,Australia,Yes,11.77
VID_72,Trending Video 72,Channel_109,Education,2023-01-03 23:00:00,21564984,1211495,19476,3360,USA,Yes,14.17
VID_73,Trending Video 73,Channel_273,Tech,2023-01-04 00:00:00,42974787,1017464,64375,32,Canada,Yes,13.8
VID_74,Trending Video 74,Channel_86,Vlogs,2023-01-04 01:00:00,9491518,509645,189530,2850,Canada,Yes,9.04
VID_75,Trending Video 75,Channel_191,Music,2023-01-04 02:00:00,48294669,1311949,26419,422,Pakistan,Yes,1.48
VID_76,Trending Video 76,Channel_608,Vlogs,2023-01-04 03:00:00,6974237,1904557,79947,2413,UK,Yes,9.99
VID_77,Trending Video 77,Channel_695,Vlogs,2023-01-04 04:00:00,43149024,1988937,184071,2368,Canada,Yes,5.88
VID_78,Trending Video 78,Channel_35,Education,2023-01-04 05:00:00,49269277,117892,284579,989,Canada,Yes,9.41
VID_79,Trending Video 79,Channel_352,Education,2023-01-04 06:00:00,8513712,281454,232183,2188,Canada,Yes,5.16
VID_80,Trending Video 80,Channel_196,Tech,2023-01-04 07:00:00,37936493,1907759,202470,2852,USA,No,2.74
VID_81,Trending Video 81,Channel_748,Gaming,2023-01-04 08:00:00,31023108,1879179,173970,720,India,Yes,5.25
VID_82,Trending Video 82,Channel_126,Entertainment,2023-01-04 09:00:00,49174339,1171440,135872,2679,India,Yes,1.3
VID_83,Trending Video 83,Channel_315,News,2023-01-04 10:00:00,31101154,20736,243548,2133,India,Yes,6.26
